20:10:18,337 [main] INFO  MultiChartView - Init Start
20:10:54,665 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-15,9.760000,9.780000,9.740000,9.740000,9.740000,98900
20:10:54,667 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-18,9.760000,9.770000,9.750000,9.760000,9.760000,80700
20:10:54,668 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-19,9.750000,9.780000,9.750000,9.760000,9.760000,50000
20:10:54,670 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-20,9.770000,9.770000,9.750000,9.760000,9.760000,64900
20:10:54,673 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-21,9.810000,9.840000,9.810000,9.830000,9.830000,512200
20:10:54,675 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-22,9.840000,9.840000,9.810000,9.830000,9.830000,322600
20:10:54,676 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-25,9.840000,9.850000,9.820000,9.840000,9.840000,869600
20:10:54,678 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-26,9.850000,9.850000,9.810000,9.840000,9.840000,260600
20:10:54,679 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-27,9.830000,9.830000,9.780000,9.830000,9.830000,160200
20:10:54,681 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-28,9.850000,9.850000,9.790000,9.820000,9.820000,52600
20:10:54,683 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-29,9.830000,9.840000,9.810000,9.840000,9.840000,138800
20:10:54,685 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-01,9.840000,9.840000,9.800000,9.830000,9.830000,619000
20:10:54,686 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-11-02,9.840000,9.840000,9.810000,9.830000,9.830000,62700
